Vanløse,8603301
Flintholm,8603302
Lindevang,8603303
Fasanvej,8603304
Frederiksberg,8603305
Forum,8603306
Nørreport,8603307
Kongens Nytorv,8603308
Christianshavn,8603309
Islands Brygge,8603310
DR Byen,8603311
Sundby,8603312
Bella Center,8603313
Ørestad,8603315
Vestamager,8603317
Amagerbro,8603321
Lergravsparken,8603322
Øresund,8603323
Amager Strand,8603324
Femøren,8603326
Kastrup,8603327
Lufthavnen,8603328
